#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MG705471.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14029,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,202,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,1938-05-29,,"Human alphaherpesvirus 1 clone 2011-9202 nuclear protein UL4 (UL4) gene, partial cds"
MG705472.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14030,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,239,GenBank,partial,,,1.0,USA,,Homo sapiens,,1938-05-30,,"Human alphaherpesvirus 1 clone 2011-9257 nuclear protein UL4 (UL4) gene, partial cds"
MG705473.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14030,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,171,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,1938-05-30,,"Human alphaherpesvirus 1 clone 2011-9290 nuclear protein UL4 (UL4) gene, partial cds"
MG705474.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13847,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,185,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,1937-11-28,,"Human alphaherpesvirus 1 clone 2010-9404 nuclear protein UL4 (UL4) gene, partial cds"
MG705475.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13845,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,172,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,1937-11-26,,"Human alphaherpesvirus 1 clone 2012-4073 nuclear protein UL4 (UL4) gene, partial cds"
MG705476.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13699,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,206,GenBank,partial,,,1.0,USA,,Homo sapiens,,2009-05-04,,"Human alphaherpesvirus 1 clone 2009-19013 thymidine kinase (UL23) gene, partial cds"
MG705477.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13694,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,193,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-04-24,,"Human alphaherpesvirus 1 clone 2009-19068 thymidine kinase (UL23) gene, partial cds"
MG705478.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13682,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,208,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-05-06,,"Human alphaherpesvirus 1 clone 2009-19951 thymidine kinase (UL23) gene, partial cds"
MG705481.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13690,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,207,GenBank,partial,,,1.0,USA,,Homo sapiens,,2009-05-12,,"Human alphaherpesvirus 1 clone 2009-20370 thymidine kinase (UL23) gene, partial cds"
MG705482.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13709,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,206,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-06-14,,"Human alphaherpesvirus 1 clone 2009-25016 thymidine kinase (UL23) gene, partial cds"
MG705483.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13732,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,73,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-06-18,,"Human alphaherpesvirus 1 clone 2009-25535 thymidine kinase (UL23) gene, partial cds"
MG705484.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13695,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,207,GenBank,partial,,,1.0,USA,,Homo sapiens,,2009-06-01,,"Human alphaherpesvirus 1 clone 2009-25674 thymidine kinase (UL23) gene, partial cds"
MG705485.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13713,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,208,GenBank,partial,,,1.0,USA,,Homo sapiens,,2009-06-01,,"Human alphaherpesvirus 1 clone 2009-25773 thymidine kinase (UL23) gene, partial cds"
MG705486.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13694,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,197,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-05-26,,"Human alphaherpesvirus 1 clone 2009-26295 thymidine kinase (UL23) gene, partial cds"
MG705487.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13728,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,208,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-07-15,,"Human alphaherpesvirus 1 clone 2009-29393 thymidine kinase (UL23) gene, partial cds"
MG705488.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13727,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,207,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-07-31,,"Human alphaherpesvirus 1 clone 2009-29966 thymidine kinase (UL23) gene, partial cds"
MG705490.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13766,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,229,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-10-09,,"Human alphaherpesvirus 1 clone 2009-39274 thymidine kinase (UL23) gene, partial cds"
MG705491.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13765,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,221,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-09-22,,"Human alphaherpesvirus 1 clone 2009-39487 thymidine kinase (UL23) gene, partial cds"
MG705492.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13766,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,117,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-11-12,,"Human alphaherpesvirus 1 clone 2009-43705 thymidine kinase (UL23) gene, partial cds"
MG705493.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13765,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,209,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2009-11-15,,"Human alphaherpesvirus 1 clone 2009-43728 thymidine kinase (UL23) gene, partial cds"
MG705494.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13890,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,243,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-07-12,,"Human alphaherpesvirus 1 clone 2010-19141 thymidine kinase (UL23) gene, partial cds"
MG705495.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13894,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,245,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-06-28,,"Human alphaherpesvirus 1 clone 2010-19154 thymidine kinase (UL23) gene, partial cds"
MG705496.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13894,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,236,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-07-12,,"Human alphaherpesvirus 1 clone 2010-19165 thymidine kinase (UL23) gene, partial cds"
MG705497.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13915,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,216,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-08-24,,"Human alphaherpesvirus 1 clone 2010-21372 thymidine kinase (UL23) gene, partial cds"
MG705498.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13916,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,157,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-08-21,,"Human alphaherpesvirus 1 clone 2010-21403 thymidine kinase (UL23) gene, partial cds"
MG705499.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13956,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,241,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-10-08,,"Human alphaherpesvirus 1 clone 2010-28642 thymidine kinase (UL23) gene, partial cds"
MG705501.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13954,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,245,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-11-08,,"Human alphaherpesvirus 1 clone 2010-30729 thymidine kinase (UL23) gene, partial cds"
MG705503.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13983,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,200,GenBank,partial,,,1.0,USA,,Homo sapiens,,2010-11-28,,"Human alphaherpesvirus 1 clone 2010-32085 thymidine kinase (UL23) gene, partial cds"
MG705505.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13982,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,245,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-12-10,,"Human alphaherpesvirus 1 clone 2010-32131 thymidine kinase (UL23) gene, partial cds"
MG705506.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13849,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,146,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-03-08,,"Human alphaherpesvirus 1 clone 2010-6170 thymidine kinase (UL23) gene, partial cds"
MG705507.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14011,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,245,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-12-14,,"Human alphaherpesvirus 1 clone 2011-1480 thymidine kinase (UL23) gene, partial cds"
MG705509.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14142,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,239,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-07-20,,"Human alphaherpesvirus 1 clone 2011-16323 thymidine kinase (UL23) gene, partial cds"
MG705510.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14114,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,218,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-08-01,,"Human alphaherpesvirus 1 clone 2011-16513 thymidine kinase (UL23) gene, partial cds"
MG705511.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14113,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,243,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-08-01,,"Human alphaherpesvirus 1 clone 2011-16538 thymidine kinase (UL23) gene, partial cds"
MG705512.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14128,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,240,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-08-05,,"Human alphaherpesvirus 1 clone 2011-17239 thymidine kinase (UL23) gene, partial cds"
MG705513.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14127,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,231,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-08-10,,"Human alphaherpesvirus 1 clone 2011-17275 thymidine kinase (UL23) gene, partial cds"
MG705514.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14143,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,242,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-08-20,,"Human alphaherpesvirus 1 clone 2011-19932 thymidine kinase (UL23) gene, partial cds"
MG705517.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14109,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,216,GenBank,partial,,,1.0,USA,,Homo sapiens,,2011-09-06,,"Human alphaherpesvirus 1 clone 2011-20799 thymidine kinase (UL23) gene, partial cds"
MG705519.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13990,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,207,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-12-17,,"Human alphaherpesvirus 1 clone 2011-2469 thymidine kinase (UL23) gene, partial cds"
MG705520.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13953,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,245,GenBank,partial,,,1.0,USA,,Homo sapiens,,2010-12-21,,"Human alphaherpesvirus 1 clone 2011-247 thymidine kinase (UL23) gene, partial cds"
MG705521.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13990,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,245,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2010-12-28,,"Human alphaherpesvirus 1 clone 2011-2481 thymidine kinase (UL23) gene, partial cds"
MG705522.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,13953,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,244,GenBank,partial,,,1.0,USA,,Homo sapiens,,2010-12-22,,"Human alphaherpesvirus 1 clone 2011-249 thymidine kinase (UL23) gene, partial cds"
MG705523.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14212,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,246,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-10-26,,"Human alphaherpesvirus 1 clone 2011-25604 thymidine kinase (UL23) gene, partial cds"
MG705524.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14223,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,179,GenBank,partial,,,1.0,USA,,Homo sapiens,,2011-11-14,,"Human alphaherpesvirus 1 clone 2011-31164 thymidine kinase (UL23) gene, partial cds"
MG705525.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14222,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,241,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-11-12,,"Human alphaherpesvirus 1 clone 2011-31212 thymidine kinase (UL23) gene, partial cds"
MG705526.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14010,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,244,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-01-13,,"Human alphaherpesvirus 1 clone 2011-3153 thymidine kinase (UL23) gene, partial cds"
MG705527.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14010,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,228,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-02-03,,"Human alphaherpesvirus 1 clone 2011-3174 thymidine kinase (UL23) gene, partial cds"
MG705529.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14217,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,246,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-10-27,,"Human alphaherpesvirus 1 clone 2011-32279 thymidine kinase (UL23) gene, partial cds"
MG705530.1,,"Ramchandani,M.S., Jing,L., Russell,R.M., Tran,T., Laing,K.J., Magaret,A.S., Selke,S., Cheng,A., Huang,M.L., Xie,H., Strachan,E., Greninger,A.L., Roychoudhury,P., Jerome,K.R., Wald,A., Koelle,D.M., Huang,M.-L.",2018-11-07,,14210,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,244,GenBank,partial,,,1.0,USA,,Homo sapiens,oronasopharynx,2011-11-16,,"Human alphaherpesvirus 1 clone 2011-32821 thymidine kinase (UL23) gene, partial cds"
