#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MK157551.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Saliva_2003-07-24_H120,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2003-07-24,,"Human betaherpesvirus 5 isolate 17_Saliva_2003-07-24_H120 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157553.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Saliva_2003-07-24_H99,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2003-07-24,,"Human betaherpesvirus 5 isolate 17_Saliva_2003-07-24_H99 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157554.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Saliva_2003-07-24_H130,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2003-07-24,,"Human betaherpesvirus 5 isolate 17_Saliva_2003-07-24_H130 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157555.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Saliva_2003-07-24_H137,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2003-07-24,,"Human betaherpesvirus 5 isolate 17_Saliva_2003-07-24_H137 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157556.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Saliva_2003-07-24_H43,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2003-07-24,,"Human betaherpesvirus 5 isolate 17_Saliva_2003-07-24_H43 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157557.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Saliva_2003-07-24_H34,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2003-07-24,,"Human betaherpesvirus 5 isolate 17_Saliva_2003-07-24_H34 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157560.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Vaginal_2003-07-24_H126,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,,2003-07-24,,"Human betaherpesvirus 5 isolate 17_Vaginal_2003-07-24_H126 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157561.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Vaginal_2003-07-24_H129,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,,2003-07-24,,"Human betaherpesvirus 5 isolate 17_Vaginal_2003-07-24_H129 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157562.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Vaginal_2003-07-24_H101,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,,2003-07-24,,"Human betaherpesvirus 5 isolate 17_Vaginal_2003-07-24_H101 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157563.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,17_Vaginal_2003-07-24_H30,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,,2003-07-24,,"Human betaherpesvirus 5 isolate 17_Vaginal_2003-07-24_H30 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157565.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H117,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H117 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157566.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H128,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H128 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157567.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H95,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H95 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157568.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H152,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H152 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157570.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H104,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H104 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157571.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H112,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H112 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157572.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H258,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H258 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157575.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H119,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H119 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157577.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H127,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H127 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157578.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H106,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H106 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157579.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H298,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H298 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157580.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H26,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H26 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157582.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H145,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H145 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157583.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Saliva_2004-01-22_H108,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,"saliva, oronasopharynx",2004-01-22,,"Human betaherpesvirus 5 isolate 30_Saliva_2004-01-22_H108 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157584.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,30_Urine_2004-01-22_H176,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2004-01-22,,"Human betaherpesvirus 5 isolate 30_Urine_2004-01-22_H176 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157586.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,11_Vaginal_2006-09-06_H16,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,,2006-09-06,,"Human betaherpesvirus 5 isolate 11_Vaginal_2006-09-06_H16 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157587.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,11_Vaginal_2006-09-06_H18,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,,2006-09-06,,"Human betaherpesvirus 5 isolate 11_Vaginal_2006-09-06_H18 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157588.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,11_Vaginal_2006-09-06_H24,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,,2006-09-06,,"Human betaherpesvirus 5 isolate 11_Vaginal_2006-09-06_H24 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157589.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,11_Vaginal_2006-09-06_H294,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,,2006-09-06,,"Human betaherpesvirus 5 isolate 11_Vaginal_2006-09-06_H294 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157594.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,12_Urine_2009-02-11_H39,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2009-02-11,,"Human betaherpesvirus 5 isolate 12_Urine_2009-02-11_H39 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157595.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,12_Urine_2009-02-11_H169,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2009-02-11,,"Human betaherpesvirus 5 isolate 12_Urine_2009-02-11_H169 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157596.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-06-23_H290,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Blood_2008-06-23_H290 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157597.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-06-23_H88,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Blood_2008-06-23_H88 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157599.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-06-23_H100,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Blood_2008-06-23_H100 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157600.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-06-23_H123,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Blood_2008-06-23_H123 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157601.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-06-23_H115,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Blood_2008-06-23_H115 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157604.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-06-23_H33,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Blood_2008-06-23_H33 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157607.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-07-21_H96,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-07-21,,"Human betaherpesvirus 5 isolate 32_Blood_2008-07-21_H96 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157609.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-07-21_H121,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-07-21,,"Human betaherpesvirus 5 isolate 32_Blood_2008-07-21_H121 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157610.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-07-21_H220,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-07-21,,"Human betaherpesvirus 5 isolate 32_Blood_2008-07-21_H220 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157611.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-07-21_H124,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-07-21,,"Human betaherpesvirus 5 isolate 32_Blood_2008-07-21_H124 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157612.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-07-21_H135,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-07-21,,"Human betaherpesvirus 5 isolate 32_Blood_2008-07-21_H135 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157613.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-07-21_H222,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-07-21,,"Human betaherpesvirus 5 isolate 32_Blood_2008-07-21_H222 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157614.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-07-21_H250,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-07-21,,"Human betaherpesvirus 5 isolate 32_Blood_2008-07-21_H250 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157615.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Blood_2008-07-21_H94,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,blood,2008-07-21,,"Human betaherpesvirus 5 isolate 32_Blood_2008-07-21_H94 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157618.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Urine_2008-06-23_H116,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Urine_2008-06-23_H116 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157620.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Urine_2008-06-23_H118,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Urine_2008-06-23_H118 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157621.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Urine_2008-06-23_H103,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2008-06-23,,"Human betaherpesvirus 5 isolate 32_Urine_2008-06-23_H103 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157622.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Urine_2008-11-04_H13,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2008-11-04,,"Human betaherpesvirus 5 isolate 32_Urine_2008-11-04_H13 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157623.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Urine_2008-11-04_H14,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2008-11-04,,"Human betaherpesvirus 5 isolate 32_Urine_2008-11-04_H14 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157624.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Urine_2008-11-04_H19,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2008-11-04,,"Human betaherpesvirus 5 isolate 32_Urine_2008-11-04_H19 envelope glycoprotein UL130 (UL130) gene, partial cds"
MK157625.1,,"Nelson,C.S., Vera Cruz,D., Su,M., Xie,G., Vandergrift,N., Pass,R.F., Forman,M., Diener-West,M., Koelle,K., Arav-Boger,R., Permar,S.R.",2018-12-03,,32_Urine_2008-11-04_H17,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,465,GenBank,partial,,,,USA,,Homo sapiens,urine,2008-11-04,,"Human betaherpesvirus 5 isolate 32_Urine_2008-11-04_H17 envelope glycoprotein UL130 (UL130) gene, partial cds"
